Serial number | File size | Modification Date | File name
/home/Bernardo/Documentos/SOPE/prob02/
2629239 | 16 Mar  3 12:19 | 8760 | p2a
2626761 | 16 Mar  4 16:30 | 8760 | p3b
2626810 | 16 Mar  4 16:24 | 8760 | p3a
2627522 | 16 Mar  3 12:03 | 8720 | p1
2629650 | 16 Mar  3 12:18 | 18 | ola.txt
2629634 | 16 Mar  3 12:19 | 568 | p2a.c
2629131 | 16 Mar  3 12:03 | 802 | p1.c
2626204 | 16 Mar  8 14:37 | 1318 | p4b.c
2626796 | 16 Mar  8 14:29 | 63 | oi.txt
2625515 | 16 Mar  4 16:24 | 529 | p3a.c
2626785 | 16 Mar  4 15:43 | 1891 | p2c.c
2626908 | 16 Mar  3 12:49 | 8760 | p2b
2625833 | 16 Mar  4 15:43 | 13448 | p2c
2626876 | 16 Mar  4 16:30 | 735 | p3b.c
2629651 | 16 Mar  3 12:49 | 753 | p2b.c
2625596 | 16 Mar  8 14:37 | 8768 | p4b
/home/Bernardo/Documentos/SOPE/prob01/
2626720 | 16 Feb 29 12:24 | 94 | cx.sh
2630060 | 16 Feb 25 13:04 | 331 | p5b.c
2630173 | 16 Feb 25 16:49 | 24 | infile.txt
2626910 | 16 Feb 25 11:44 | 12288 | .p2a.c.swp
2630181 | 16 Feb 25 16:58 | 741 | p6a.c
2626957 | 16 Feb 25 11:12 | 8552 | p2a
2626905 | 16 Feb 25 11:12 | 8552 | a.out
2627204 | 16 Feb 29 14:54 | 573 | p10b.c
2630006 | 16 Feb 25 17:11 | 8760 | p7a
2627504 | 16 Mar  1 14:54 | 8808 | p8a
2626904 | 16 Feb 25 12:24 | 8608 | p4a
2626931 | 16 Feb 25 15:03 | 8608 | p5d
2630178 | 16 Feb 25 16:53 | 15 | ola.txt
2628931 | 16 Feb 25 11:12 | 72 | p2a.c
2629881 | 16 Feb 25 12:42 | 246 | p4b.c
2630158 | 16 Feb 25 15:01 | 174 | p5c.c
2627049 | 16 Feb 29 14:29 | 297 | p10a.c
2630116 | 16 Feb 25 12:55 | 184 | p5a.c
2626933 | 16 Feb 25 12:24 | 180 | p4a.c
2630176 | 16 Feb 25 16:50 | 24 | outfile.txt
2630111 | 16 Feb 25 16:55 | 15 | oi.txt
2625720 | 16 Feb 29 15:53 | 8768 | output
2630007 | 16 Feb 25 13:04 | 8656 | p5b
2630191 | 16 Feb 25 17:27 | 838 | p8a.c
2630018 | 16 Feb 25 12:55 | 8552 | p5a
2627108 | 16 Feb 29 14:57 | 575 | p10c.c
2630163 | 16 Feb 25 15:03 | 181 | p5d.c
2630073 | 16 Feb 25 16:58 | 8920 | p6a
2630183 | 16 Feb 25 17:11 | 263 | p7a.c
2630124 | 16 Feb 25 15:01 | 8608 | p5c
2626956 | 16 Feb 25 12:42 | 8656 | p4b
/home/Bernardo/Documentos/SOPE/prob05/
/home/Bernardo/Documentos/SOPE/proj/
2752789 | 16 Mar 17 15:45 | 2098 | files.txt
2752781 | 16 Mar 17 14:52 | 9208 | output
2752780 | 16 Mar 17 15:45 | 2094 | lsdir.c
2752738 | 16 Mar 17 15:45 | 13528 | lsdir
/home/Bernardo/Documentos/SOPE/prob03/
2629303 | 16 Mar 10 13:01 | 12288 | .p4a.c.swp
2627593 | 16 Mar 10 11:32 | 8656 | p4a
2629369 | 16 Mar 10 11:38 | 281 | p4b.c
2629374 | 16 Mar 10 12:27 | 387 | p5a.c
2629338 | 16 Mar 10 11:31 | 305 | p4a.c
2626615 | 16 Mar 10 13:01 | 497 | p11a.c
2627586 | 16 Mar 10 12:27 | 8608 | p5a
2627811 | 16 Mar 10 11:39 | 8608 | p4b
2627004 | 16 Feb 29 12:28 | 41 | cp.sh
/home/Bernardo/Documentos/SOPE/prob04/
2625817 | 16 Mar 17 11:22 | 8696 | p01
2630317 | 16 Mar 17 13:03 | 722 | p04a.c
2630226 | 16 Mar 17 11:59 | 914 | p02.c
2630002 | 16 Mar 17 12:29 | 600 | p03a.c
2630261 | 16 Mar 17 11:33 | 417 | p01.c
2625511 | 16 Mar 17 13:00 | 8760 | output
2627218 | 16 Mar 17 12:53 | 989 | p03b.c
